英国AB农业有限公司	英美烟草	阿尔森德渔业公司	阿尔森德渔业公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	阿尔森德渔业公司	阿尔森德渔业公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	英国AB农业有限公司
法国阿利芳公司	英美烟草	I法国阿利芳公司	法国阿利芳公司	ADM公司	ADM公司	ADM公司	美国林业及纸业协会	法国阿利芳公司	法国阿利芳公司	ADM公司	ADM公司	ADM公司	ADM公司	ADM公司	法国阿利芳公司
Archer Daniels Midland Company	英美烟草	IADM公司	ADM公司	ADM公司	ADM公司	百绿有限公司	美国林业及纸业协会	美国林业及纸业协会	美国林业及纸业协会	ADM公司	ADM公司	百绿有限公司	百绿有限公司	百绿有限公司	ADM公司
百绿有限公司	赛力事达玉米工业	百绿有限公司	百绿有限公司	百绿有限公司	百绿有限公司	北京大一韩日国际种苗有限公司	韩国农友BIO株式会社	美国林业及纸业协会	美国林业及纸业协会	百绿有限公司	百绿有限公司	北京大一韩日国际种苗有限公司	北京大一韩日国际种苗有限公司	北京大一韩日国际种苗有限公司	百绿有限公司
北京大一韩日国际种苗有限公司	赛力事达玉米工业	I有限公司	I有限公司	北京大一韩日国际种苗有限公司	北京大一韩日国际种苗有限公司	奥地利百奥明公司	英美烟草	美国大豆协会	美国大豆协会	北京大一韩日国际种苗有限公司	北京大一韩日国际种苗有限公司	奥地利百奥明公司	奥地利百奥明公司	奥地利百奥明公司	北京大一韩日国际种苗有限公司
奥地利百奥明公司	赛力事达玉米工业	奥地利百奥明公司	奥地利百奥明公司	奥地利百奥明公司	奥地利百奥明公司	英美烟草集团	英美烟草	美国大豆协会	美国大豆协会	奥地利百奥明公司	"	奥地利百奥明公司"	英美烟草集团	英美烟草集团	英美烟草集团	奥地利百奥明公司
英美烟草集团	正大集团	□BritishAmericanTobacco英美烟草	I英美烟草	英美烟草集团	英美烟草集团	英美烟草集团	嘉吉公司	百绿有限公司	ADM公司	英美烟草集团	英美烟草集团	英美烟草集团	英美烟草集团	英美烟草集团	英美烟草集团
California Cedar Products Company	正大集团	□BritishAmericanTobacco英美烟草	I英美烟草	英美烟草集团	英美烟草集团	California Cedar Products Company	嘉吉公司	北京大一韩日国际种苗有限公司	百绿有限公司	英美烟草集团	英美烟草集团	California Cedar Products Company	California Cedar Products Company	California Cedar Products Company	英美烟草集团
嘉吉公司	正大集团	I Company	California Cedar Products Company	California Cedar Products Company	Company	嘉吉公司	嘉吉公司	英美烟草	北京大一韩日国际种苗有限公司	I California Cedar Products Company California Cedar Products Company	I California Cedar Products Company California Cedar Products Company	嘉吉公司	嘉吉公司	嘉吉公司	California Cedar Products Company
Cerexagri Inc.	正大集团	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	英美烟草	奥地利百奥明公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司
正大集团	正大集团	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	California Cedar Products Company	英美烟草	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司
"CNH America, LLC"	正大集团	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	正大集团	嘉吉公司	嘉吉公司	英美烟草	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司
中粮艾地盟粮油工业(菏泽)有限公司	正大集团	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	正大集团	嘉吉公司	嘉吉公司	I California Cedar Products Company California Cedar Products Company	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司
"ContiGroup Companies, Inc."	正大集团	嘉吉公司	正大集团	嘉吉公司	嘉吉公司	正大集团	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	嘉吉公司	正大集团	正大集团	正大集团	嘉吉公司
利拉伐	正大集团	嘉吉公司	正大集团	嘉吉公司	正大集团	正大集团	嘉吉公司	嘉吉公司	嘉吉公司	正大集团	正大集团	正大集团	正大集团	正大集团	嘉吉公司
西班牙艾诺斯种业有限公司	正大集团	I正大集团	正大集团	正大集团	正大集团	凯斯纽荷兰	嘉吉公司	嘉吉公司	嘉吉公司	正大集团	正大集团	正大集团	正大集团	正大集团	嘉吉公司
克里莫	正大集团	I正大集团	正大集团	正大集团	凯斯纽荷兰	凯斯纽荷兰	嘉吉公司	嘉吉公司	嘉吉公司	正大集团	正大集团	正大集团	正大集团	正大集团	嘉吉公司
光兆工业森林生物科技集团有限公司	正大集团	I正大集团	正大集团	正大集团	凯斯纽荷兰	中粮艾地盟粮油工业（菏泽）有限公司	嘉吉公司	嘉吉公司	嘉吉公司	正大集团	正大集团	正大集团	正大集团	正大集团	嘉吉公司
Hayday Farms	正大集团	I正大集团	"OContiGroup Companies, Inc. ContiGroup Companies, Inc."	正大集团	"ContiGroup Companies, Inc."	"ContiGroup Companies, Inc."	嘉吉公司	嘉吉公司	嘉吉公司	正大集团	正大集团	凯斯纽荷兰	凯斯纽荷兰	凯斯纽荷兰	嘉吉公司
海泽拉优质种子公司	正大集团	I正大集团	I美国玉米制品国际有限公司	正大集团	美国玉米制品国际有限公司	美国玉米制品国际有限公司	嘉吉公司	嘉吉公司	正大集团	凯斯纽荷兰	凯斯纽荷兰	凯斯纽荷兰	凯斯纽荷兰	凯斯纽荷兰	嘉吉公司
香港怡兴种业	卡斯特木业	"	ContiGroup Companies, Inc. I ContiGroup Companies, Inc."	Delta & Pine Land Company	凯斯纽荷兰	西班牙艾诺斯种业有限公司	西班牙艾诺斯种业有限公司	嘉吉公司	嘉吉公司	正大集团	凯斯纽荷兰	凯斯纽荷兰	中粮艾地盟粮油工业（荷泽）有限公司	中粮艾地盟粮油工业(荷泽)有限公司	中粮艾地盟粮油工业(荷泽)有限公司	嘉吉公司
Huaxia Dairy Farm	岱字棉公司	I美国玉米制品国际有限公司	西班牙艾诺斯种业有限公司	凯斯纽荷兰	Finnforest	克里莫	嘉吉公司	嘉吉公司	正大集团	"ContiGroup Companies, Inc."	中粮艾地盟粮油工业(荷泽)有限公司	"■ ContiGroup Companies, Inc?"	"ContiGroup Companies, Inc?"	"ContiGroup Companies, Inc?"	嘉吉公司
帝国烟草公司	芬兰木业总公司	"	Delta & Pine Land Company I Delta & Pine Land Company"	克里莫	"ContiGroup Companies, Inc."	克里莫	海泽拉优质种子公司	嘉吉公司	嘉吉公司	正大集团	美国玉米制品国际有限公司	"ContiGroup Companies, Inc?"	美国玉米制品国际有限公司	美国玉米制品国际有限公司	美国玉米制品国际有限公司	嘉吉公司
美国辛普劳公司	日本烟草	I西班牙艾诺斯种业有限公司	I美国辛普劳公司	美国玉米制品国际有限公司	海泽拉优质种子公司	香港怡兴种业	嘉吉公司	嘉吉公司	正大集团	西班牙艾诺斯种业有限公司	美国玉米制品国际有限公司	西班牙艾诺斯种业有限公司	西班牙艾诺斯种业有限公司	西班牙艾诺斯种业有限公司	嘉吉公司
柯诺木业	约翰迪尔	芬林木业总公司	柯诺木业	西班牙艾诺斯种业有限公司	香港怡兴种业	帝国烟草公司	嘉吉公司	嘉吉公司	"ContiGroup Companies, Inc?"	Finnforest	西班牙艾诺斯种业有限公司	克里莫	克里莫	克里莫	嘉吉公司
Land O Lakes Inc.	约翰迪尔	I克里莫	乐斯福集团	Finnforest	帝国烟草公司	美国辛普劳公司	嘉吉公司	嘉吉公司	美国玉米制品国际有限公司	克里莫	Finnforest	海泽拉优质种子公司	光兆工业森林生物科技集团有限公司	光兆工业森林生物科技集团有限公司	嘉吉公司
Lassen Canyon Nursery	美国尼尔森公司	美国辛普劳公司	Limagrain	克里莫	美国辛普劳公司	柯诺木业	嘉吉公司	嘉吉公司	Delta & Pine Land Company	"	海泽拉优质种子公司"	克里莫	香港怡兴种业	海泽拉优质种子公司	海泽拉优质种子公司	嘉吉公司
法国乐斯福集团	孟山都	柯诺木业	路易达孚	海泽拉优质种子公司	柯诺木业	乐斯福集团	正大集团	嘉吉公司	克里莫	帝国烟草公司	海泽拉优质种子公司	美国辛普劳公司	香港怡兴种业	香港怡兴种业	嘉吉公司
利马格兰集团	以色列耐特菲姆公司	乐斯福集团	"	Monsanto Company"	美国辛普劳公司	乐斯福集团	Limagrain	正大集团	嘉吉公司	美国辛普劳公司	美国辛普劳公司	香港怡兴种业	柯诺木业	帝国烟草公司	帝国烟草公司	嘉吉公司
路易达孚	裴顿农场	Limagrain	耐特菲姆公司	柯诺木业	Limagrain	路易达孚	正大集团	嘉吉公司	日本烟草产业株式会社	柯诺木业	帝国烟草公司	乐斯福集团	美国辛普劳公司	美国辛普劳公司	嘉吉公司
孟山都	菲利普?莫里斯集团	路易达孚	韩国农友BIO株式会社	乐斯福集团	路易达孚	孟山都	正大集团	嘉吉公司	日本烟草产业株式会社	乐斯福集团	美国辛普劳公司	Limagrain	柯诺木业	柯诺木业	嘉吉公司
耐特菲姆公司	菲利普?莫里斯集团	I孟山都	Nutreco Holding N.V.	Limagrain	孟山都	耐特菲姆公司	正大集团	嘉吉公司	乐斯福集团	Limagrain	柯诺木业	路易达孚	乐斯福集团	乐斯福集团	嘉吉公司
来宝集团	瑞安中国	耐特菲姆公司	PIC国际集团	路易达孚	耐特菲姆公司	来宝集团	正大集团	正大集团	路易达孚	路易达孚	乐斯福集团	耐特菲姆公司	Limagrain	Limagrain	嘉吉公司
农天利(北京)贸易有限公司	兴农种子	韩国农友BIO株式会社	瑞安公司	孟山都	来宝集团	农天利（北京）贸易有限公司	玉米产品国际公司	正大集团	孟山都	孟山都	Limagrain	来宝集团	路易达孚	路易达孚	嘉吉公司
韩国农友BIO株式会社	美国辛普劳公司	ONutreco Holding N.V. Nutreco Holding N.V.	Seminis Inc.	耐特菲姆公司	农天利（北京）贸易有限公司	韩国农友BIO株式会社	卡斯特木业	正大集团	韩国农业协同组合中央会	耐特菲姆公司	路易达孚	农天利(北京)贸易有限公司	耐特菲姆公司	耐特菲姆公司	嘉吉公司
以色列OTL科技有限公司	斯道拉恩索	裴顿农场	Syngenta Company	来宝集团	韩国农友BIO株式会社	以色列OTL科技有限公司	岱字棉公司	"ContiGroup Companies, Inc."	耐特菲姆公司	来宝集团	孟山都	韩国农友BIO株式会社	来宝集团	来宝集团	嘉吉公司
Philip Morris International Inc.	斯道拉恩索	PIC国际集团	Syngenta Company	韩国农友BIO株式会社	以色列OTL科技有限公司	菲利普·莫里斯集团	克里莫	美国玉米制品国际有限公司	韩国农友BIO株式会社	农天利(北京)贸易有限公司	耐特菲姆公司	以色列OTL科技有限公司	农天利(北京)贸易有限公司	农天利(北京)贸易有限公司	嘉吉公司
PIC国际集团	斯道拉恩索	瑞安公司	Syngenta Company	Nutreco Holding N.V.	菲利普·莫里斯集团	PIC国际集团	乐斯福(明光)有限公司	Delta & Pine Land Company	Nutreco Holding N?V?	韩国农友BIO株式会社	来宝集团	菲利普?莫里斯集团	韩国农友BIO株式会社	韩国农友BIO株式会社	嘉吉公司
